state,pop_show,label
Alabama,The Simpsons,other
Alaska,Boy Meets World,other
Arizona,The Office,The Office
Arkansas,Roseanne,other
California,13 Reasons Why,13 Reasons Why
Colorado,Supernatural,Supernatural
Connecticut,Grey's Anatomy,Grey's Anatomy
Delaware,13 Reasons Why,13 Reasons Why
Florida,The Office,The Office
Georgia,13 Reasons Why,13 Reasons Why
Hawaii,Grey's Anatomy,Grey's Anatomy
Idaho,Friends,Friends
Illinois,One Piece,other
Indiana,The Office,The Office
Iowa,The Office,The Office
Kansas,The Office,The Office
Kentucky,Frasier,other
Louisiana,The Office,The Office
Maine,Grey's Anatomy,Grey's Anatomy
Maryland,Brooklyn Nine-Nine,other
Massachusetts,The Office,The Office
Michigan,Friends,Friends
Minnesota,Grey's Anatomy,Grey's Anatomy
Mississippi,13 Reasons Why,13 Reasons Why
Missouri,13 Reasons Why,13 Reasons Why
Montana,Modern Family,other
Nebraska,Fullmetal Alchemist: Brotherhood,other
Nevada,13 Reasons Why,13 Reasons Why
New Hampshire,Pokemon,other
New Jersey,Grey's Anatomy,Grey's Anatomy
New Mexico,Grey's Anatomy,Grey's Anatomy
New York,The Office,The Office
North Carolina,Whose Line Is It Anyway,other
North Dakota,Pretty Little Liars,other
Ohio,The Office,The Office
Oklahoma,13 Reasons Why,13 Reasons Why
Oregon,Friends,Friends
Pennsylvania,The Office,The Office
Rhode Island,The Office,The Office
South Carolina,Whose Line Is It Anyway,other
South Dakota,Supernatural,Supernatural
Tennessee,Supernatural,Supernatural
Texas,The Office,The Office
Utah,Survivor,other
Vermont,Friends,Friends
Virginia,The Fresh Prince of Bel-Air,other
Washington,Brooklyn Nine-Nine,other
West Virginia,Supernatural,Supernatural
Wisconsin,One Piece,other
Wyoming,Supernatural,Supernatural
